sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms
10100031,TimeWise Luminous 3D Foundation - Beige C 220,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Beige C 220,TimeWise Luminous 3D Foundation
10154138,TimeWise Luminous 3D Foundation - Bronze W 100,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Bronze W 100,TimeWise Luminous 3D Foundation
10154140,TimeWise Luminous 3D Foundation - Bronze W 130,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Bronze W 130,TimeWise Luminous 3D Foundation
10154141,TimeWise Luminous 3D Foundation - Bronze W 150,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Bronze W 150,TimeWise Luminous 3D Foundation
10154142,TimeWise Luminous 3D Foundation - Bronze C 160,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Bronze C 160,TimeWise Luminous 3D Foundation
10154143,TimeWise Luminous 3D Foundation - Bronze C 170,26.00,,,2026-04-08,TimeWise Luminous 3D Foundation - Bronze C 170,TimeWise Luminous 3D Foundation
10175890,Mary Kay Silky Setting Powder - Light Ivory,20.00,,,2026-04-08,Silky Setting Powder - Light Ivory,Silky Setting Powder
10175891,Mary Kay Silky Setting Powder - Light-Medium Ivory,20.00,,,2026-04-08,Silky Setting Powder - Light-Medium Ivory,Silky Setting Powder
10175892,Mary Kay Silky Setting Powder - Medium Ivory,20.00,,,2026-04-08,Silky Setting Powder - Medium Ivory,Silky Setting Powder
10175893,Mary Kay Silky Setting Powder - Deep Ivory,20.00,,,2026-04-08,Silky Setting Powder - Deep Ivory,Silky Setting Powder
10175894,Mary Kay Silky Setting Powder - Light Beige,20.00,,,2026-04-08,Silky Setting Powder - Light Beige,Silky Setting Powder
10175895,Mary Kay Silky Setting Powder - Light-Medium Beige,20.00,,,2026-04-08,Silky Setting Powder - Light-Medium Beige,Silky Setting Powder
10175896,Mary Kay Silky Setting Powder - Medium Beige,20.00,,,2026-04-08,Silky Setting Powder - Medium Beige,Silky Setting Powder
10175897,Mary Kay Silky Setting Powder - Deep Beige,20.00,,,2026-04-08,Silky Setting Powder - Deep Beige,Silky Setting Powder
10175898,Mary Kay Silky Setting Powder - Light Bronze,20.00,,,2026-04-08,Silky Setting Powder - Light Bronze,Silky Setting Powder
10175899,Mary Kay Silky Setting Powder - Light-Medium Bronze,20.00,,,2026-04-08,Silky Setting Powder - Light-Medium Bronze,Silky Setting Powder
10175901,Mary Kay Silky Setting Powder - Medium Bronze,20.00,,,2026-04-08,Silky Setting Powder - Medium Bronze,Silky Setting Powder
10175902,Mary Kay Silky Setting Powder - Deep Bronze,20.00,,,2026-04-08,Silky Setting Powder - Deep Bronze,Silky Setting Powder
10060182,Mary Kay Translucent Loose Powder,18.00,,,2026-04-08,Translucent Loose Powder,Translucent Loose Powder
10233087,Mary Kay Foundation Primer Sunscreen Broad Spectrum SPF 15,20.00,,,2026-04-08,Foundation Primer,Foundation Primer
10252246,Mary Kay Chromafusion Blush - Golden Copper,14.00,,,2026-04-08,Chromafusion Blush - Golden Copper,Chromafusion Blush
10252249,Mary Kay Chromafusion Blush - Rosy Nude,14.00,,,2026-04-08,Chromafusion Blush - Rosy Nude,Chromafusion Blush
10252248,Mary Kay Chromafusion Blush - Rogue Rose,14.00,,,2026-04-08,Chromafusion Blush - Rogue Rose,Chromafusion Blush
10252250,Mary Kay Chromafusion Blush - Shy Blush,14.00,,,2026-04-08,Chromafusion Blush - Shy Blush,Chromafusion Blush
10252247,Mary Kay Chromafusion Blush - Hot Coral,14.00,,,2026-04-08,Chromafusion Blush - Hot Coral,Chromafusion Blush
